Date,Close,Currency,High,Low,Open,Volume
2010-01-04,0.53,USD,0.54,0.49,0.5,0
2010-01-05,0.56,USD,0.57,0.53,0.53,0
2010-01-06,0.6,USD,0.61,0.58,0.58,0
2010-01-07,0.73,USD,0.74,0.62,0.62,0
2010-01-08,0.83,USD,0.85,0.73,0.75,0
2010-01-11,0.63,USD,0.88,0.59,0.84,0
2010-01-12,0.68,USD,0.71,0.6,0.63,0
2010-01-13,0.71,USD,0.73,0.68,0.69,0
2010-01-14,0.75,USD,0.76,0.72,0.73,0
2010-01-15,0.77,USD,0.77,0.73,0.75,0
2010-01-19,0.68,USD,0.74,0.65,0.74,0
2010-01-20,0.65,USD,0.66,0.6,0.66,0
2010-01-21,0.65,USD,0.66,0.6,0.65,0
2010-01-22,0.63,USD,0.65,0.62,0.65,0
2010-01-25,0.65,USD,0.68,0.63,0.63,0
2010-01-26,0.65,USD,0.66,0.64,0.64,0
2010-01-27,0.66,USD,0.67,0.65,0.65,0
2010-01-28,0.63,USD,0.66,0.63,0.66,0
2010-01-29,0.63,USD,0.64,0.62,0.63,0
2010-02-01,0.62,USD,0.65,0.62,0.64,0
2010-02-02,0.62,USD,0.63,0.6,0.62,0
2010-02-03,0.61,USD,0.63,0.6,0.62,0
2010-02-04,0.6,USD,0.62,0.6,0.62,0
2010-02-05,0.6,USD,0.6,0.57,0.6,0
2010-02-08,0.58,USD,0.59,0.57,0.59,0
2010-02-09,0.6,USD,0.61,0.58,0.58,0
2010-02-10,0.59,USD,0.61,0.58,0.6,0
2010-02-11,0.58,USD,0.59,0.58,0.59,0
2010-02-12,0.6,USD,0.6,0.58,0.58,0
2010-02-16,0.58,USD,0.59,0.58,0.59,0
2010-02-17,0.58,USD,0.59,0.58,0.59,0
2010-02-18,0.58,USD,0.59,0.58,0.58,0
2010-02-19,0.58,USD,0.59,0.58,0.58,0
2010-02-22,0.58,USD,0.58,0.57,0.58,0
2010-02-23,0.56,USD,0.57,0.55,0.57,0
2010-02-24,0.56,USD,0.57,0.55,0.56,0
2010-02-25,0.55,USD,0.56,0.55,0.55,0
2010-02-26,0.53,USD,0.55,0.53,0.55,0
2010-03-01,0.55,USD,0.55,0.53,0.53,0
2010-03-02,0.59,USD,0.6,0.54,0.55,0
2010-03-03,0.59,USD,0.62,0.59,0.59,0
2010-03-04,0.56,USD,0.59,0.56,0.58,0
2010-03-05,0.58,USD,0.59,0.56,0.57,0
2010-03-08,0.6,USD,0.61,0.59,0.59,0
2010-03-09,0.59,USD,0.6,0.57,0.6,0
2010-03-10,0.58,USD,0.59,0.58,0.59,0
2010-03-11,0.58,USD,0.58,0.58,0.58,0
2010-03-12,0.57,USD,0.57,0.57,0.58,0
2010-03-15,0.57,USD,0.57,0.57,0.57,0
2010-03-16,0.57,USD,0.57,0.57,0.57,0
2010-03-17,0.56,USD,0.57,0.56,0.56,0
2010-03-18,0.57,USD,0.57,0.56,0.56,0
2010-03-19,0.56,USD,0.56,0.56,0.57,0
2010-03-22,0.55,USD,0.57,0.55,0.56,0
2010-03-23,0.55,USD,0.56,0.55,0.55,0
