Date,Close,Currency,High,Low,Open,Volume
2014-03-28,558.46,USD,564.88,557.14,559.66,41116
2014-03-31,555.45,USD,565.45,555.41,565.34,10802
2014-04-01,565.61,USD,566.89,557.18,557.18,7954
2014-04-02,565.45,USD,603.17,560.65,598.35,147100
2014-04-03,568.18,USD,585.67,562.59,568.29,5101498
2014-04-04,541.65,USD,576.19,541.51,573.08,6395168
2014-04-07,536.68,USD,546.98,525.71,539.26,4401621
2014-04-08,553.38,USD,553.48,540.13,541.11,3161061
2014-04-09,562.6,USD,563.82,551.44,558.09,3333870
2014-04-10,539.47,USD,563.45,538.42,563.45,4038801
2014-04-11,529.15,USD,538.52,525.09,531.09,3926923
2014-04-14,531.06,USD,542.61,528.11,536.78,2575071
2014-04-15,534.97,USD,536.98,517.04,535.35,3858016
2014-04-16,555.02,USD,555.47,538.52,541.51,4893287
2014-04-17,534.63,USD,548.0,529.7,547.31,6814050
2014-04-21,527.17,USD,535.23,524.16,534.63,2568246
2014-04-22,533.35,USD,535.76,526.07,527.19,2365899
2014-04-23,525.5,USD,532.41,524.81,532.33,2056697
2014-04-24,523.72,USD,530.19,520.69,528.62,1887132
2014-04-25,514.77,USD,523.26,514.01,521.08,2103022
2014-04-28,515.73,USD,517.18,501.42,515.76,3335562
2014-04-29,526.26,USD,528.01,514.91,515.48,2699881
2014-04-30,525.22,USD,526.55,521.09,526.16,1751700
2014-05-01,529.9,USD,531.47,522.45,525.67,1905650
2014-05-02,526.48,USD,532.54,524.17,532.3,1689668
2014-05-05,526.36,USD,527.45,519.89,523.38,1024212
2014-05-06,513.73,USD,525.37,513.65,523.79,1689005
2014-05-07,508.56,USD,515.27,501.92,514.38,3224907
2014-05-08,509.6,USD,515.81,505.06,507.07,2021666
2014-05-09,517.31,USD,518.48,502.82,509.35,2439462
2014-05-12,528.47,USD,528.74,517.59,522.08,1913632
2014-05-13,531.63,USD,534.6,528.06,529.44,1653434
2014-05-14,525.21,USD,531.54,523.85,531.54,1195135
2014-05-15,518.56,USD,524.43,516.0,524.26,1708436
2014-05-16,519.2,USD,520.37,514.03,519.96,1485756
2014-05-19,527.41,USD,528.33,516.17,518.28,1279866
2014-05-20,528.32,USD,534.76,524.86,528.29,1785000
2014-05-21,537.46,USD,537.71,530.45,531.44,1196665
2014-05-22,543.57,USD,546.1,539.3,539.65,1616262
2014-05-23,551.19,USD,552.12,542.21,545.76,1934930
2014-05-27,564.4,USD,564.45,552.83,554.48,2106064
2014-05-28,560.14,USD,566.29,559.46,563.02,1652241
2014-05-29,558.55,USD,562.46,557.18,561.81,1354365
2014-05-30,558.36,USD,559.81,554.39,559.26,1771645
2014-06-02,552.41,USD,559.36,544.24,559.16,1438929
2014-06-03,543.45,USD,550.83,541.06,549.48,1867033
2014-06-04,543.17,USD,547.11,537.27,540.02,1817059
2014-06-05,552.38,USD,553.43,542.96,544.9,1689512
2014-06-06,554.81,USD,556.53,547.43,556.53,1737349
2014-06-09,560.58,USD,561.36,554.52,555.62,1467695
2014-06-10,559.02,USD,562.06,556.37,558.98,1353149
2014-06-11,557.31,USD,558.35,553.5,556.47,1100393
2014-06-12,549.84,USD,556.46,546.96,555.77,1461105
2014-06-13,550.25,USD,550.79,544.07,550.75,1220518
2014-06-16,542.79,USD,548.12,540.04,547.76,1708705
2014-06-17,541.52,USD,543.83,537.85,542.71,1449848
2014-06-18,551.85,USD,552.04,542.51,543.37,1742113
2014-06-19,553.38,USD,553.48,547.01,552.72,2458071
2014-06-20,554.84,USD,556.05,548.88,555.33,4509308
2014-06-23,563.4,USD,563.45,552.73,553.63,1538872
2014-06-24,563.07,USD,571.08,559.47,563.64,2207834
2014-06-25,577.07,USD,578.37,563.67,563.71,1969840
2014-06-26,574.42,USD,580.86,570.28,579.41,1741980
2014-06-27,575.66,USD,578.28,572.23,575.6,2237300
2014-06-30,573.7,USD,577.98,573.18,577.08,1314508
2014-07-01,581.07,USD,582.8,575.07,576.74,1450280
2014-07-02,580.74,USD,583.84,578.8,581.75,1057832
2014-07-03,583.13,USD,583.41,579.33,581.75,714165
2014-07-07,580.66,USD,584.82,578.0,582.16,1064748
2014-07-08,569.53,USD,577.94,564.58,576.08,1913887
2014-07-09,574.5,USD,575.14,567.82,570.02,1116965
2014-07-10,569.54,USD,575.01,563.46,564.36,1357033
2014-07-11,577.59,USD,579.26,569.86,570.34,1622010
2014-07-14,583.27,USD,583.61,576.45,581.0,1857375
2014-07-15,583.18,USD,584.2,574.98,584.14,1623259
2014-07-16,581.06,USD,586.79,580.61,586.39,1398389
2014-07-17,572.16,USD,579.4,567.05,577.94,3023754
2014-07-18,593.45,USD,595.17,580.41,591.38,4017389
2014-07-21,587.86,USD,592.77,583.63,590.13,2065991
2014-07-22,593.11,USD,598.01,588.98,589.1,1699440
2014-07-23,594.35,USD,596.21,590.88,591.61,1233223
2014-07-24,591.73,USD,597.86,590.15,594.82,1036178
2014-07-25,587.41,USD,590.24,585.42,588.78,935285
2014-07-28,588.98,USD,590.88,583.15,586.46,986863
2014-07-29,584.01,USD,588.09,581.92,587.14,1350344
2014-07-30,585.81,USD,587.89,582.4,584.94,1016716
2014-07-31,570.03,USD,582.05,568.44,579.01,2105280
2014-08-01,564.52,USD,574.38,561.31,568.84,1955525
2014-08-04,571.58,USD,573.77,562.56,567.48,1431087
2014-08-05,563.52,USD,570.41,561.07,568.49,1560959
2014-08-06,564.82,USD,569.14,558.47,560.24,1334531
2014-08-07,561.82,USD,568.33,559.56,566.44,1111945
2014-08-08,567.21,USD,568.69,558.82,562.02,1496589
2014-08-11,566.33,USD,568.93,564.45,568.43,1219306
2014-08-12,561.19,USD,564.35,559.34,562.97,1541980
2014-08-13,573.21,USD,573.43,564.2,565.76,1441870
2014-08-14,573.08,USD,576.32,569.32,574.6,985625
2014-08-15,571.91,USD,577.79,568.96,576.28,1521221
2014-08-18,580.57,USD,582.91,574.42,574.53,1286052
2014-08-19,585.25,USD,585.73,582.4,583.4,981987
2014-08-20,582.89,USD,585.09,580.97,584.28,1037620
2014-08-21,581.77,USD,582.9,579.55,582.22,915360
2014-08-22,580.96,USD,583.63,579.05,581.99,791652
2014-08-25,578.61,USD,583.4,577.41,583.12,1362541
2014-08-26,576.28,USD,580.21,575.0,579.67,1639955
2014-08-27,569.44,USD,576.91,568.54,575.69,1704829
2014-08-28,567.64,USD,571.68,565.55,568.0,1299521
2014-08-29,570.03,USD,570.47,565.52,569.77,1084200
2014-09-02,575.75,USD,576.25,569.63,570.28,1581159
2014-09-03,576.36,USD,581.39,573.43,578.41,1217921
2014-09-04,580.39,USD,584.4,577.63,578.41,1463964
2014-09-05,584.48,USD,584.94,580.36,582.38,1633951
2014-09-08,588.11,USD,590.15,584.69,584.99,1433025
2014-09-09,579.42,USD,587.39,578.41,587.29,1290255
2014-09-10,581.5,USD,581.9,575.36,579.91,977822
2014-09-11,579.76,USD,580.22,574.68,578.77,1221064
2014-09-12,574.04,USD,580.05,572.89,579.41,1602063
2014-09-15,571.53,USD,573.38,566.65,571.37,1600606
2014-09-16,578.36,USD,579.91,571.09,571.19,1482365
2014-09-17,583.17,USD,585.91,577.19,578.42,1695637
2014-09-18,587.66,USD,587.93,583.4,585.39,1445971
2014-09-19,594.45,USD,594.85,587.89,589.88,3737278
2014-09-22,585.76,USD,592.32,581.86,592.19,1692344
2014-09-23,579.54,USD,585.24,579.41,585.24,1471733
2014-09-24,586.38,USD,588.02,578.93,579.87,1729272
2014-09-25,573.49,USD,586.37,572.61,585.94,1930636
2014-09-26,575.52,USD,577.66,573.09,574.48,1443760
2014-09-29,574.78,USD,576.61,569.61,570.18,1284722
2014-09-30,575.78,USD,578.26,571.28,575.35,1622880
2014-10-01,566.71,USD,576.0,565.46,574.43,1448994
2014-10-02,568.52,USD,570.34,561.78,565.76,1178534
2014-10-03,573.7,USD,575.64,570.93,571.48,1141762
2014-10-06,575.77,USD,579.41,572.87,577.22,1214646
2014-10-07,562.2,USD,573.69,562.2,572.83,1911661
2014-10-08,570.93,USD,572.31,555.96,564.02,1993346
2014-10-09,559.34,USD,569.93,557.53,569.62,2526611
2014-10-10,543.0,USD,563.58,542.56,556.19,3087086
2014-10-13,531.75,USD,548.0,531.64,543.5,2585756
2014-10-14,536.47,USD,545.69,531.71,537.42,2223317
2014-10-15,528.58,USD,531.34,516.88,529.56,3722729
2014-10-16,523.07,USD,527.98,513.59,517.58,3708577
2014-10-17,509.77,USD,529.53,507.14,525.81,5545859
2014-10-20,519.41,USD,520.33,506.71,508.06,2612658
2014-10-21,525.1,USD,525.35,517.69,523.75,2338935
2014-10-22,531.25,USD,538.32,527.35,528.44,2925192
2014-10-23,542.49,USD,545.72,534.38,537.84,2351735
2014-10-24,538.3,USD,543.39,534.32,542.87,1977461
2014-10-27,539.29,USD,542.92,535.56,535.56,1188226
2014-10-28,547.4,USD,547.48,540.14,541.51,1276868
2014-10-29,547.83,USD,552.67,545.48,548.49,1771959
2014-10-30,548.8,USD,551.29,542.02,547.45,1455653
2014-10-31,557.55,USD,558.04,553.23,557.82,2038468
2014-11-03,553.7,USD,556.37,551.72,553.98,1382296
2014-11-04,552.59,USD,553.98,547.8,551.49,1244168
2014-11-05,544.43,USD,555.28,542.56,555.28,2032304
2014-11-06,540.56,USD,545.39,539.49,544.01,1333254
2014-11-07,539.53,USD,544.71,537.2,544.71,1633732
2014-11-10,545.99,USD,548.09,539.54,539.98,1134653
2014-11-11,548.78,USD,550.43,544.8,546.99,967515
