Date,Close,Currency,High,Low,Open,Volume
2010-01-04,18.93,USD,18.94,18.23,18.27,52087600
2010-01-05,18.66,USD,18.93,18.55,18.92,43375152
2010-01-06,18.6,USD,18.81,18.51,18.66,41407172
2010-01-07,18.53,USD,18.67,18.46,18.64,39429576
2010-01-08,18.68,USD,18.71,18.52,18.62,30409108
2010-01-11,18.83,USD,18.95,18.67,18.83,32449988
2010-01-12,18.77,USD,18.99,18.64,18.8,41273508
2010-01-13,19.21,USD,19.3,18.87,18.87,59517792
2010-01-14,19.38,USD,19.5,19.13,19.2,47268680
2010-01-15,19.49,USD,19.68,19.26,19.43,76629048
2010-01-19,20.0,USD,20.07,19.5,19.53,78340768
2010-01-20,19.94,USD,20.36,19.87,20.05,79245680
2010-01-21,19.24,USD,20.15,19.17,20.04,77180528
2010-01-22,18.96,USD,19.92,18.9,19.26,61707504
2010-01-25,18.85,USD,19.25,18.84,19.24,49275500
2010-01-26,18.78,USD,18.9,18.63,18.72,43601156
2010-01-27,19.0,USD,19.09,18.66,18.78,54617924
2010-01-28,18.63,USD,19.1,18.61,19.07,50943816
2010-01-29,18.66,USD,18.97,18.52,18.7,56044604
2010-02-01,18.79,USD,18.99,18.7,18.79,39455684
2010-02-02,19.24,USD,19.33,18.77,18.87,67643088
2010-02-03,18.62,USD,18.85,18.42,18.69,114002864
2010-02-04,18.03,USD,18.44,18.01,18.35,94261824
2010-02-05,17.96,USD,18.18,17.6,17.91,90400888
2010-02-08,17.84,USD,18.0,17.72,17.91,55630348
2010-02-09,17.88,USD,18.15,17.65,17.87,70977168
2010-02-10,17.74,USD,17.98,17.63,17.92,59958492
2010-02-11,17.87,USD,18.03,17.62,17.75,54698324
2010-02-12,17.8,USD,17.89,17.62,17.85,50345240
2010-02-16,17.72,USD,18.08,17.61,17.96,63287912
2010-02-17,17.67,USD,17.86,17.53,17.85,58260428
2010-02-18,17.73,USD,17.75,17.55,17.68,57122916
2010-02-19,17.99,USD,18.1,17.73,17.82,50659580
2010-02-22,17.95,USD,18.15,17.78,17.98,58002300
2010-02-23,17.67,USD,17.94,17.61,17.84,47873500
2010-02-24,17.81,USD,18.02,17.6,17.74,67724824
2010-02-25,17.69,USD,17.73,17.43,17.57,53460168
2010-02-26,17.55,USD,17.81,17.5,17.69,59237624
2010-03-01,17.75,USD,17.86,17.58,17.61,45625300
2010-03-02,17.6,USD,17.88,17.55,17.87,64662304
2010-03-03,17.32,USD,17.59,17.21,17.45,109071008
2010-03-04,17.33,USD,17.4,17.22,17.35,56919092
2010-03-05,17.48,USD,17.5,17.23,17.38,64708932
2010-03-08,17.35,USD,17.6,17.27,17.59,48738796
2010-03-09,17.23,USD,17.32,17.15,17.27,54551192
2010-03-10,17.15,USD,17.35,17.11,17.21,56305800
2010-03-11,17.29,USD,17.32,17.1,17.12,49142516
2010-03-12,17.08,USD,17.23,16.99,17.19,85448504
2010-03-15,17.26,USD,17.28,16.99,17.03,43939428
