Date,Close,Currency,High,Low,Open,Volume
2010-06-30,4.77,USD,6.08,4.66,5.16,85971968
2010-07-01,4.39,USD,5.18,4.05,5.0,41149316
2010-07-02,3.84,USD,4.62,3.74,4.6,25709036
2010-07-06,3.22,USD,4.0,3.17,4.0,34396480
2010-07-07,3.16,USD,3.33,3.0,3.28,34624568
2010-07-08,3.49,USD,3.5,3.11,3.23,38597696
2010-07-09,3.48,USD,3.58,3.31,3.52,20293030
2010-07-12,3.41,USD,3.61,3.4,3.59,11017850
2010-07-13,3.63,USD,3.73,3.38,3.48,13400300
2010-07-14,3.97,USD,4.03,3.55,3.59,20980550
2010-07-15,3.98,USD,4.3,3.8,3.99,18726484
2010-07-16,4.13,USD,4.26,4.01,4.14,13106050
2010-07-19,4.38,USD,4.45,4.18,4.27,12432445
2010-07-20,4.06,USD,4.37,4.01,4.37,9126155
2010-07-21,4.04,USD,4.18,3.9,4.13,6267210
2010-07-22,4.2,USD,4.25,4.07,4.1,4811725
2010-07-23,4.26,USD,4.31,4.21,4.24,3270245
2010-07-26,4.19,USD,4.3,4.06,4.3,4612265
2010-07-27,4.11,USD,4.24,4.05,4.18,3098375
2010-07-28,4.14,USD,4.18,4.1,4.11,2335915
2010-07-29,4.07,USD,4.18,4.0,4.15,3079550
2010-07-30,3.99,USD,4.09,3.91,4.04,2134150
2010-08-02,4.18,USD,4.19,4.07,4.1,3595725
2010-08-03,4.39,USD,4.39,4.16,4.2,6155115
2010-08-04,4.25,USD,4.44,4.17,4.39,4603780
2010-08-05,4.09,USD,4.31,4.01,4.31,3981900
2010-08-06,3.92,USD,4.03,3.9,4.02,3710690
2010-08-09,3.92,USD,4.0,3.89,3.98,4063280
2010-08-10,3.81,USD,3.93,3.76,3.93,6406430
2010-08-11,3.58,USD,3.78,3.57,3.74,3988250
2010-08-12,3.52,USD,3.58,3.48,3.56,3456405
2010-08-13,3.66,USD,3.69,3.53,3.64,3172565
2010-08-16,3.76,USD,3.76,3.65,3.69,2431055
2010-08-17,3.83,USD,3.88,3.76,3.79,2239405
2010-08-18,3.75,USD,3.92,3.72,3.92,3006660
2010-08-19,3.76,USD,3.85,3.67,3.71,2895410
2010-08-20,3.82,USD,3.82,3.7,3.73,1487495
2010-08-23,4.03,USD,4.08,3.8,3.82,5440145
2010-08-24,3.84,USD,3.94,3.79,3.85,3365370
2010-08-25,3.98,USD,4.0,3.71,3.83,2516445
2010-08-26,3.95,USD,4.05,3.92,3.98,2168680
2010-08-27,3.94,USD,3.97,3.9,3.95,1898210
2010-08-30,3.97,USD,4.04,3.92,3.94,3663655
2010-08-31,3.9,USD,3.96,3.87,3.93,1005060
2010-09-01,4.09,USD,4.14,3.92,3.92,2478425
2010-09-02,4.21,USD,4.25,4.06,4.07,2435300
2010-09-03,4.21,USD,4.26,4.13,4.17,2173780
2010-09-07,4.11,USD,4.2,4.1,4.12,1216675
2010-09-08,4.18,USD,4.19,4.12,4.13,1441910
2010-09-09,4.14,USD,4.21,4.14,4.2,1880985
2010-09-10,4.03,USD,4.19,3.95,4.15,1932855
2010-09-13,4.14,USD,4.18,4.1,4.18,1803515
2010-09-14,4.22,USD,4.32,4.11,4.11,3273145
2010-09-15,4.4,USD,4.4,4.16,4.2,3423790
2010-09-16,4.19,USD,4.63,4.17,4.43,13429400
2010-09-17,4.05,USD,4.26,3.96,4.2,5992290
2010-09-20,4.21,USD,4.27,4.03,4.13,4737375
2010-09-21,4.15,USD,4.31,4.13,4.18,3980000
2010-09-22,3.97,USD,4.19,3.96,4.17,4814080
2010-09-23,3.91,USD,4.03,3.9,3.98,3340380
2010-09-24,4.02,USD,4.04,3.93,3.99,2894935
2010-09-27,4.11,USD,4.16,4.01,4.08,2092985
2010-09-28,4.28,USD,4.3,4.15,4.21,6072325
2010-09-29,4.4,USD,4.41,4.23,4.24,9847285
2010-09-30,4.08,USD,4.43,4.04,4.4,10983125
2010-10-01,4.12,USD,4.15,4.06,4.14,2995355
2010-10-04,4.2,USD,4.23,4.06,4.09,3217995
2010-10-05,4.22,USD,4.26,4.2,4.23,1659680
2010-10-06,4.09,USD,4.25,4.06,4.21,1567760
2010-10-07,4.09,USD,4.13,4.07,4.11,705100
2010-10-08,4.09,USD,4.16,4.08,4.09,1340550
2010-10-11,4.05,USD,4.14,4.01,4.09,855970
2010-10-12,4.05,USD,4.06,4.01,4.04,1219560
2010-10-13,4.11,USD,4.17,4.07,4.13,1602705
2010-10-14,4.15,USD,4.21,4.08,4.2,1473100
2010-10-15,4.11,USD,4.18,4.05,4.18,1424200
2010-10-18,4.05,USD,4.13,4.04,4.1,813645
2010-10-19,4.01,USD,4.08,4.0,4.04,1225635
2010-10-20,4.13,USD,4.14,4.01,4.03,1562220
2010-10-21,4.15,USD,4.19,4.09,4.12,2089995
2010-10-22,4.14,USD,4.19,4.11,4.14,805105
2010-10-25,4.17,USD,4.2,4.15,4.19,593070
